Muestra 	 SP 	 Temp. 	 
 	 1 	 31 	 0.000000 
        2 	 31 	 0.000000 
        3 	 31 	 31.125000 
        4 	 31 	 30.937500 
        5 	 31 	 30.937500 
        6 	 31 	 31.125000 
        7 	 31 	 31.062500 
        8 	 31 	 31.125000 
        9 	 31 	 31.125000 
        10 	 31 	 30.500000 
        11 	 31 	 30.562500 
        12 	 31 	 31.250000 
        13 	 31 	 31.250000 
        14 	 31 	 30.750000 
        15 	 31 	 31.312500 
        16 	 31 	 312500000031.250000 
        17 	 31 	 30.812500 
        18 	 31 	 31.375000 
        19 	 31 	 31.125000 
        20 	 31 	 31.250000 
        21 	 31 	 30.687500 
        22 	 31 	 30.812500 
        23 	 31 	 31.375000 
        24 	 31 	 31.250000 
        25 	 31 	 31.250000 
        26 	 31 	 31.312500 
        27 	 31 	 31.250000 
        28 	 31 	 31.312500 
        29 	 31 	 31.437500 
        30 	 31 	 31.312500 
        31 	 31 	 31.375000 
        32 	 31 	 31.375000 
        33 	 31 	 31.375000 
        34 	 31 	 31.312500 
        35 	 31 	 31.375000 
        36 	 31 	 30.875000 
        37 	 31 	 31.375000 
        38 	 31 	 31.312500 
        39 	 31 	 31.375000 
        40 	 31 	 31.500000 
        41 	 31 	 31.375000 
        42 	 31 	 30.937500 
        43 	 31 	 31.500000 
        44 	 31 	 31.500000 
        45 	 31 	 31.500000 
        46 	 31 	 31.500000 
        47 	 31 	 31.000000 
        48 	 31 	 31.687500 
        49 	 31 	 31.500000 
        50 	 31 	 31.687500 
        51 	 31 	 31.687500 
        52 	 31 	 31.687500 
        53 	 31 	 31.687500 
        54 	 31 	 31.750000 
        55 	 31 	 31.687500 
        56 	 31 	 31.750000 
        57 	 31 	 31.750000 
        58 	 31 	 31.750000 
        59 	 31 	 31.812500 
        60 	 31 	 31.875000 
        61 	 31 	 31.812500 
        62 	 31 	 31.812500 
        63 	 31 	 31.875000 
        64 	 31 	 31.812500 
        65 	 31 	 31.750000 
        66 	 31 	 31.250000 
        67 	 31 	 31.875000 
        68 	 31 	 31.250000 
        69 	 31 	 31.312500 
        70 	 31 	 31.937500 
        71 	 31 	 31.750000 
        72 	 31 	 31.750000 
        73 	 31 	 31.812500 
        74 	 31 	 31.750000 
        75 	 31 	 31.750000 
        76 	 31 	 31.750000 
        77 	 31 	 31.750000 
        78 	 31 	 31.625000 
        79 	 31 	 31.062500 
        80 	 31 	 31.687500 
        81 	 31 	 31.500000 
        82 	 31 	 31.062500 
        83 	 31 	 31.562500 
        84 	 31 	 30.937500 
        85 	 31 	 31.562500 
        86 	 31 	 31.375000 
        87 	 31 	 30.937500 
        88 	 31 	 31.000000 
        89 	 31 	 31.437500 
        90 	 31 	 31.500000 
        91 	 31 	 31.500000 
        92 	 31 	 31.625000 
        93 	 31 	 30.937500 
        94 	 31 	 30.937500 
        95 	 31 	 31.437500 
        96 	 31 	 31.562500 
        97 	 31 	 31.562500 
        98 	 31 	 31.562500 
        99 	 31 	 31.562500 
        100 	 31 	 31.562500 
        101 	 31 	 -127.000000 
  102 	 31 	 0.000000 
        103 	 31 	 31.125000 
        104 	 31 	 31.187500 
        105 	 31 	 31.062500 
        106 	 31 	 31.062500 
        107 	 31 	 31.125000 
        108 	 31 	 31.062500 
        109 	 31 	 31.125000 
        110 	 31 	 30.500000 
        111 	 31 	 31.000000 
        112 	 31 	 31.062500 
        113 	 31 	 30.937500 
        114 	 31 	 31.125000 
        115 	 31 	 30.500000 
        116 	 31 	 30.500000 
        117 	 31 	 31.125000 
        118 	 31 	 31.125000 
        119 	 31 	 30.937500 
        120 	 31 	 31.062500 
        121 	 31 	 30.937500 
        122 	 31 	 31.125000 
        123 	 31 	 31.062500 
        124 	 31 	 30.437500 
        125 	 31 	 30.875000 
        126 	 31 	 31.125000 
        127 	 31 	 31.000000 
        128 	 31 	 30.375000 
        129 	 31 	 31.062500 
        130 	 31 	 31.000000 
        131 	 31 	 30.937500 
        132 	 31 	 30.937500 
        133 	 31 	 30.875000 
        134 	 31 	 30.937500 
        135 	 31 	 30.937500 
        136 	 31 	 30.937500 
        137 	 31 	 30.937500 
        138 	 31 	 30.875000 
        139 	 31 	 50000000030.937500 
        140 	 31 	 30.937500 
        141 	 31 	 31.062500 
        142 	 31 	 30.375000 
        143 	 31 	 30.812500 
0 
        144 	 32 	 32.500000 
        145 	 40 	 32.562500 
        146 	 40 	 32.062500 
        147 	 40 	 32.625000 
        148 	 40 	 32.000000 
        149 	 40 	 32.625000 
        150 	 40 	 32.625000 
        151 	 40 	 32.625000 
        152 	 40 	 32.562500 
3 	 24 	 23.375000 
        154 	 24 	 23.437500 
        155 	 24 	 22.875000 
        156 	 24 	 23.437500 
        157 	 24 	 22.812500 
        158 	 24 	 23.312500 
        159 	 24 	 22.750000 
        160 	 24 	 23.250000 
        161 	 24 	 22.687500 
        162 	 24 	 23.312500 
        163 	 24 	 22.687500 
        164 	 24 	 23.312500 
        165 	 24 	 23.312500 
        166 	 24 	 23.250000 
        167 	 24 	 23.312500 
        168 	 24 	 23.250000 
        169 	 24 	 22.625000 
        170 	 24 	 23.187500 
        171 	 24 	 23.187500 
        172 	 24 	 23.250000 
        173 	 24 	 22.625000 
        174 	 24 	 23.250000 
        175 	 24 	 23.187500 
        176 	 24 	 23.187500 
        177 	 24 	 22.562500 
        178 	 24 	 23.187500 
        179 	 24 	 23.187500 
        180 	 24 	 23.062500 
        181 	 24 	 22.625000 
        182 	 24 	 23.125000 
        183 	 24 	 22.562500 
        184 	 24 	 23.187500 
        185 	 24 	 23.187500 
        186 	 24 	 23.375000 
        187 	 24 	 23.187500 
        188 	 24 	 23.250000 
